2023-04-29 12:17:18,522 p=6812 u=ubuntu n=ansible | PLAY [Set host to ip mapping in /etc/hosts file of all the instances in the stack] ***
2023-04-29 12:17:18,532 p=6812 u=ubuntu n=ansible | TASK [Gathering Facts] *********************************************************
2023-04-29 12:17:20,400 p=6812 u=ubuntu n=ansible | ok: [app01]
2023-04-29 12:17:20,460 p=6812 u=ubuntu n=ansible | ok: [web01]
2023-04-29 12:17:20,468 p=6812 u=ubuntu n=ansible | ok: [mc01]
2023-04-29 12:17:20,476 p=6812 u=ubuntu n=ansible | ok: [rmq01]
2023-04-29 12:17:20,481 p=6812 u=ubuntu n=ansible | ok: [cntl]
2023-04-29 12:17:21,880 p=6812 u=ubuntu n=ansible | ok: [db01]
2023-04-29 12:17:21,897 p=6812 u=ubuntu n=ansible | TASK [Import VPC setup Variable] ***********************************************
2023-04-29 12:17:21,944 p=6812 u=ubuntu n=ansible | ok: [cntl]
2023-04-29 12:17:21,961 p=6812 u=ubuntu n=ansible | ok: [web01]
2023-04-29 12:17:21,984 p=6812 u=ubuntu n=ansible | ok: [app01]
2023-04-29 12:17:22,002 p=6812 u=ubuntu n=ansible | ok: [rmq01]
2023-04-29 12:17:22,004 p=6812 u=ubuntu n=ansible | ok: [mc01]
2023-04-29 12:17:22,013 p=6812 u=ubuntu n=ansible | ok: [db01]
2023-04-29 12:17:22,022 p=6812 u=ubuntu n=ansible | TASK [Update hosts file for all the hosts] *************************************
2023-04-29 12:17:22,888 p=6812 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770642.233054-6976-226532345600351/tmpggeg1cpv' -> b'/etc/hosts'
2023-04-29 12:17:22,889 p=6812 u=ubuntu n=ansible | fatal: [app01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpt77oinsshosts'"}
2023-04-29 12:17:22,892 p=6812 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770642.2945821-6980-19015596315733/tmpvuc0n3n4' -> b'/etc/hosts'
2023-04-29 12:17:22,893 p=6812 u=ubuntu n=ansible | fatal: [rmq01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpkdl1h344hosts'"}
2023-04-29 12:17:22,893 p=6812 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770642.1741834-6975-148875169297289/tmpxcg47m6m' -> b'/etc/hosts'
2023-04-29 12:17:22,896 p=6812 u=ubuntu n=ansible | fatal: [web01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmp22722_udhosts'"}
2023-04-29 12:17:22,900 p=6812 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770642.338488-6988-19366774731877/tmpr4_fl4nh' -> b'/etc/hosts'
2023-04-29 12:17:22,900 p=6812 u=ubuntu n=ansible | fatal: [mc01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpn3ycfc2_hosts'"}
2023-04-29 12:17:22,952 p=6812 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770642.1250231-6974-101410975448599/tmp_706ozo6' -> b'/etc/hosts'
2023-04-29 12:17:22,953 p=6812 u=ubuntu n=ansible | fatal: [cntl]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmp5xu0np9ehosts'"}
2023-04-29 12:17:23,213 p=6812 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770642.9611433-7030-60931945504182/tmpxdpofypb' -> b'/etc/hosts'
2023-04-29 12:17:23,213 p=6812 u=ubuntu n=ansible | fatal: [db01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpsqfi76vohosts'"}
2023-04-29 12:17:23,216 p=6812 u=ubuntu n=ansible | PLAY RECAP *********************************************************************
2023-04-29 12:17:23,216 p=6812 u=ubuntu n=ansible | app01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:17:23,216 p=6812 u=ubuntu n=ansible | cntl                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:17:23,216 p=6812 u=ubuntu n=ansible | db01                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:17:23,216 p=6812 u=ubuntu n=ansible | mc01                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:17:23,217 p=6812 u=ubuntu n=ansible | rmq01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:17:23,217 p=6812 u=ubuntu n=ansible | web01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 13:24:28,204 p=7219 u=root n=ansible | PLAY [Set host to ip mapping in /etc/hosts file of all the instances in the stack] ***
2023-04-29 13:24:28,214 p=7219 u=root n=ansible | TASK [Gathering Facts] *********************************************************
2023-04-29 13:24:30,140 p=7219 u=root n=ansible | ok: [app01]
2023-04-29 13:24:30,146 p=7219 u=root n=ansible | ok: [web01]
2023-04-29 13:24:30,159 p=7219 u=root n=ansible | ok: [rmq01]
2023-04-29 13:24:30,181 p=7219 u=root n=ansible | ok: [mc01]
2023-04-29 13:24:30,319 p=7219 u=root n=ansible | ok: [cntl]
2023-04-29 13:24:31,615 p=7219 u=root n=ansible | ok: [db01]
2023-04-29 13:24:31,631 p=7219 u=root n=ansible | TASK [Import VPC setup Variable] ***********************************************
2023-04-29 13:24:31,681 p=7219 u=root n=ansible | ok: [cntl]
2023-04-29 13:24:31,698 p=7219 u=root n=ansible | ok: [web01]
2023-04-29 13:24:31,721 p=7219 u=root n=ansible | ok: [app01]
2023-04-29 13:24:31,737 p=7219 u=root n=ansible | ok: [rmq01]
2023-04-29 13:24:31,740 p=7219 u=root n=ansible | ok: [mc01]
2023-04-29 13:24:31,748 p=7219 u=root n=ansible | ok: [db01]
2023-04-29 13:24:31,758 p=7219 u=root n=ansible | TASK [Update hosts file for all the hosts] *************************************
2023-04-29 13:24:32,617 p=7219 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682774671.912807-7389-6978370730348/tmpeacmmtcr' -> b'/etc/hosts'
2023-04-29 13:24:32,618 p=7219 u=root n=ansible | fatal: [web01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpqn1tq3unhosts'"}
2023-04-29 13:24:32,618 p=7219 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682774671.9714215-7390-210952204450521/tmpbbx5rfbi' -> b'/etc/hosts'
2023-04-29 13:24:32,619 p=7219 u=root n=ansible | fatal: [app01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmph7gbp5izhosts'"}
2023-04-29 13:24:32,619 p=7219 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682774672.0292218-7394-20350416402515/tmp3pp1a5tq' -> b'/etc/hosts'
2023-04-29 13:24:32,620 p=7219 u=root n=ansible | fatal: [rmq01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpwa7fccn8hosts'"}
2023-04-29 13:24:32,624 p=7219 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682774672.0738153-7403-205628574023531/tmp5vvxufuz' -> b'/etc/hosts'
2023-04-29 13:24:32,626 p=7219 u=root n=ansible | fatal: [mc01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpnvuza_74hosts'"}
2023-04-29 13:24:32,679 p=7219 u=root n=ansible | changed: [cntl]
2023-04-29 13:24:32,937 p=7219 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682774672.6852312-7444-139740170041537/tmpm1k6ot58' -> b'/etc/hosts'
2023-04-29 13:24:32,937 p=7219 u=root n=ansible | fatal: [db01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpt1ybfjvwhosts'"}
2023-04-29 13:24:32,953 p=7219 u=root n=ansible | PLAY RECAP *********************************************************************
2023-04-29 13:24:32,954 p=7219 u=root n=ansible | app01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
